Lasioglossum pauxillum	GCA_933228785.1	ERR9081702	5
Platycnemis pennipes	GCA_933228895.1	ERR8705870	5
Machimus atricapillus	GCA_933228815.1	ERR8705867	5
Miltochrista miniata	GCA_933228765.1	ERR8575383	5
Hipparchia semele	GCA_933228805.1	ERR8575378	5
Amblyteles armatorius	GCA_933228735.1	ERR8575397	5
Leistus spinibarbis	GCA_933228885.1	ERR8705868	5
Pemphredon lugubris	GCA_933228935.1	ERR8575361	5
Stomorhina lunata	GCA_933228675.1	ERR8705866	5
Buathra laborator	GCA_934046635.1	ERR8482057	5
Leuctra nigra	GCA_934045905.1	ERR8705875	5
Ypsolopha sequella	GCA_934047225.1	ERR9081701	5
Apeira syringaria	GCA_934044485.1	ERR8575375	5
Yponomeuta sedellus	GCA_934045075.1	ERR8575389	5
Xylocampa areola	GCA_935421205.1	ERR8575387	5
Polydrusus cervinus	GCA_935413205.1	ERR9127936	5
Melolontha melolontha	GCA_935421215.1	ERR8705880	5
Gibbula magus	GCA_936450465.1	ERR9127939	5
Protodeltote pygarga	GCA_936450705.1	ERR9284042	5
Rutpela maculata	GCA_936432065.1	ERR9284046	5
Barbus barbus	GCA_936440315.1	ERR9387529	2
Cheilosia pagana	GCA_936431705.1	ERR9284051	5
Meganola albula	GCA_936450015.1	ERR6808014	5
Glyphotaelius pellucidus	GCA_936435175.1	ERR8575402	5
Lepidonotus clava	GCA_936440205.1	ERR8575395	5
Nowickia ferox	GCA_936439885.1	ERR8705881	5
Synanthedon andrenaeformis	GCA_936446665.1	ERR9284040	5
Sarcophaga subvicina	GCA_936449025.1	ERR9284050	5
Hypsopygia costalis	GCA_937001555.1	ERR9468770	5
Orcinus orca	GCA_937001465.1	ERR9127948	2
Brachylomia viminalis	GCA_937001585.1	ERR9468771	5
Bombylius discolor	GCA_939192795.1	ERR9527499	5
Polyommatus icarus	GCA_937595015.1	ERR9081703	5
Halyzia sedecimguttata	GCA_937662695.1	ERR9468772	5
Aricia artaxerxes	GCA_937612035.1	ERR9439488	5
Thecophora atra	GCA_937620795.1	ERR8978460	5
Cistogaster globosa	GCA_937654795.1	ERR9127946	5
Thera britannica	GCA_939531255.1	ERR9630943	5
Metschnikowia zobellii	GCA_939531405.1	ERR9588940	3
Trichoderma pseudokoningii	GCA_943193705.1	ERR9709333	4
Xestia sexstrigata	GCA_941918905.1	ERR9588938	5
Phyto melanocephala	GCA_941918925.1	ERR9489183	5
Sthenelais limicola	GCA_942159475.1	ERR8978463	5
Calliphora vomitoria	GCA_942486065.1	ERR9682745	5
Agrotis puta	GCA_943136025.1	ERR9682743	5
Ophonus ardosiacus	GCA_943142095.1	ERR9709324	5
Acrobasis suavella	GCA_943193695.1	ERR9745002	5
Acentria ephemerella	GCA_943193645.1	ERR9745004	5
Adalia bipunctata	GCA_910592335.1	ERR7015066	5
Eupithecia abbreviata	GCA_943735965.1	ERR9793190	5
Stelis phaeoptera	GCA_943735885.1	ERR9793193	5
Sesia bembeciformis	GCA_943735995.1	ERR9793194	5
Myopa tessellatipennis	GCA_943737955.1	ERR9793195	5
Pherbina coryleti	GCA_943735915.1	ERR9793192	5
Pollenia amentaria	GCA_943735925.1	ERR9769017	5
Piscicola geometra	GCA_943735955.1	ERR9744411	5
Tenthredo mesomela	GCA_943736025.1	ERR9793198	5
Agriphila geniculea	GCA_943789525.1	ERR8978464	5
Sphaerophoria taeniata	GCA_943590905.1	ERR9127940	5
Nebria salina	GCA_944039245.1	ERR6590588	5
Tiphia femorata	GCA_944319695.1	ERR9467445	5
Rhogogaster chlorosoma	GCA_944452935.1	ERR9793197	5
Stenoptilia bipunctidactyla	GCA_944452665.1	ERR9836416	5
Chrysolina oricalcia	GCA_944452925.1	ERR9709338	5
Tachina lurida	GCA_944452675.1	ERR9836430	5
Ophion luteus	GCA_944452715.1	ERR9836428	5
Carterocephalus palaemon	GCA_944567765.1	ERR9793196	5
Phosphuga atrata	GCA_944588485.1	ERR9836418	5
Eupithecia centaureata	GCA_944547425.1	ERR9763979	5
Micropterix aruncella	GCA_944548615.1	ERR9836424	5
Euclidia mi	GCA_944739405.1	ERR9871428	5
Andrena hattorfiana	GCA_944738655.1	ERR9630942	5
Nebria brevicollis	GCA_944738965.1	ERR8363510	5
Synanthedon myopaeformis	GCA_944738685.1	ERR9854839	5
Eristalinus sepulchralis	GCA_944738645.1	ERR9863244	5
Cryptosula pallasiana	GCA_945261195.1	ERR9863243	5
Megachile willughbiella	GCA_945859595.1	ERR9854837	5
Megachile ligniseca	GCA_945859555.1	ERR9854187	5
